Station,Date,Range,Hi,Lo
8726520,2008-05-19T04:00:00,2.389000,2.786000,0.397000
8726520,2008-05-27T04:00:00,2.228000,1.959000,-0.269000
8726520,2008-06-02T04:00:00,2.624000,2.582000,-0.042000
8726520,2008-06-09T04:00:00,2.322000,2.152000,-0.170000
8726520,2008-06-16T04:00:00,2.378000,2.444000,0.066000
8726520,2008-06-23T04:00:00,1.168000,2.628000,1.460000
8726520,2008-06-30T04:00:00,2.693000,2.605000,-0.088000
8726520,2008-07-07T04:00:00,1.178000,2.481000,1.303000
8726520,2008-07-14T04:00:00,1.995000,2.664000,0.669000
8726520,2008-07-21T04:00:00,2.346000,2.769000,0.423000
8726520,2008-07-28T04:00:00,2.434000,2.910000,0.476000
8726520,2008-08-04T04:00:00,2.201000,2.841000,0.640000
8726520,2008-08-11T04:00:00,2.142000,2.615000,0.473000
8726520,2008-08-18T04:00:00,2.343000,2.812000,0.469000
8726520,2008-08-25T04:00:00,2.621000,2.841000,0.220000
8726520,2008-09-02T04:00:00,2.746000,4.068000,1.322000
8726520,2008-09-08T04:00:00,2.073000,2.795000,0.722000
8726520,2008-09-15T04:00:00,1.988000,3.179000,1.191000
8726520,2008-09-22T04:00:00,2.297000,2.779000,0.482000
8726520,2008-09-29T04:00:00,1.656000,3.028000,1.372000
8726520,2008-10-06T04:00:00,1.916000,2.385000,0.469000
8726520,2008-10-13T04:00:00,1.565000,2.494000,0.929000
8726520,2008-10-21T04:00:00,2.257000,2.182000,-0.075000
8726520,2008-10-27T04:00:00,1.686000,2.464000,0.778000
8726520,2008-11-03T05:00:00,2.201000,2.654000,0.453000
8726520,2008-11-10T05:00:00,1.099000,1.982000,0.883000
8726520,2008-11-17T05:00:00,3.695000,2.658000,-1.037000
8726520,2008-11-24T05:00:00,1.667000,1.805000,0.138000
8726520,2008-12-01T05:00:00,2.333000,3.176000,0.843000
8726520,2008-12-08T05:00:00,1.059000,1.181000,0.122000
8726520,2008-12-15T05:00:00,2.969000,2.402000,-0.567000
8726520,2008-12-22T05:00:00,1.709000,2.047000,0.338000
8726520,2008-12-29T05:00:00,2.743000,2.261000,-0.482000
8726520,2009-01-05T05:00:00,1.227000,1.814000,0.587000
8726520,2009-01-12T05:00:00,1.690000,1.109000,-0.581000
8726520,2009-01-21T05:00:00,1.585000,1.749000,0.164000
8726520,2009-01-26T05:00:00,1.388000,0.811000,-0.577000
8726520,2009-02-02T05:00:00,1.355000,1.565000,0.210000
8726520,2009-02-09T05:00:00,1.624000,0.627000,-0.997000
8726520,2009-02-16T05:00:00,1.151000,1.880000,0.729000
8726520,2009-02-23T05:00:00,1.289000,1.043000,-0.246000
8726520,2009-03-04T05:00:00,2.015000,1.516000,-0.499000
8726520,2009-03-09T04:00:00,1.657000,1.332000,-0.325000
8726520,2009-03-16T04:00:00,1.371000,2.467000,1.096000
8726520,2009-03-23T04:00:00,1.670000,1.083000,-0.587000
8726520,2009-03-30T04:00:00,0.446000,2.356000,1.910000
8726520,2009-04-06T04:00:00,1.667000,1.949000,0.282000
8726520,2009-04-13T04:00:00,1.217000,2.467000,1.250000
8726520,2009-04-20T04:00:00,1.988000,2.090000,0.102000
8726520,2009-04-27T04:00:00,2.933000,2.526000,-0.407000
8726520,2009-05-04T04:00:00,1.729000,2.123000,0.394000
8726520,2009-05-11T04:00:00,2.661000,2.251000,-0.410000
8726520,2009-05-18T04:00:00,1.545000,2.185000,0.640000
8726520,2009-05-26T04:00:00,3.196000,3.101000,-0.095000
8726520,2009-06-02T04:00:00,1.345000,1.867000,0.522000
8726520,2009-06-08T04:00:00,2.687000,2.713000,0.026000
8726520,2009-06-15T04:00:00,1.654000,1.982000,0.328000
8726520,2009-06-22T04:00:00,3.278000,3.163000,-0.115000
8726520,2009-06-24T04:00:00,3.271000,3.334000,0.063000
8726520,2009-06-29T04:00:00,1.529000,2.553000,1.024000
8726520,2009-07-06T04:00:00,2.687000,3.130000,0.443000
